start,end,speaker,word,score
16.86,16.92,SPEAKER_01,My,0.565
16.96,17.14,SPEAKER_01,name,0.687
17.2,17.24,SPEAKER_01,is,0.008
17.26,17.681,SPEAKER_01,Olivia.,0.903
17.841,17.901,SPEAKER_01,I'm,0.005
17.921,17.941,SPEAKER_01,a,0.636
17.961,18.382,SPEAKER_01,sophomore,0.779
18.402,18.442,SPEAKER_01,at,0.546
18.462,18.963,SPEAKER_01,Westchester,0.715
19.023,19.664,SPEAKER_01,University,0.922
19.804,19.944,SPEAKER_01,with,0.444
20.104,20.284,SPEAKER_01,a,0.522
20.304,20.405,SPEAKER_01,major,0.001
20.425,20.465,SPEAKER_01,in,0.32
20.485,20.945,SPEAKER_01,chemistry,0.659
20.985,21.045,SPEAKER_01,and,0.419
21.085,21.105,SPEAKER_01,a,0.488
21.186,21.486,SPEAKER_01,minor,0.205
21.506,21.546,SPEAKER_01,in,0.342
21.566,22.047,SPEAKER_01,Spanish.,0.645
23.228,23.408,SPEAKER_01,I'd,0.669
23.429,23.589,SPEAKER_01,like,0.742
23.629,23.689,SPEAKER_01,to,0.986
23.729,23.969,SPEAKER_01,think,0.931
24.109,24.57,SPEAKER_01,that,0.894
25.772,26.032,SPEAKER_01,chemistry,0.245
26.072,26.112,SPEAKER_01,is,0.008
26.132,26.332,SPEAKER_01,really,0.348
26.392,26.573,SPEAKER_01,cool,0.403
26.593,26.673,SPEAKER_01,even,0.266
26.693,26.813,SPEAKER_01,though,0.167
26.833,26.933,SPEAKER_01,most,0.407
26.953,27.193,SPEAKER_01,people,0.737
27.213,27.494,SPEAKER_01,don't.,0.799
28.355,29.857,SPEAKER_01,I,0.95
29.897,30.017,SPEAKER_01,want,0.676
30.037,30.097,SPEAKER_01,to,0.56
30.137,30.358,SPEAKER_01,study,0.783
30.378,30.998,SPEAKER_01,environmental,0.574
31.019,31.719,SPEAKER_01,chemistry,0.7
32.18,32.38,SPEAKER_01,and,0.899
32.44,32.881,SPEAKER_01,help,0.541
32.901,33.021,SPEAKER_01,make,0.897
33.041,33.101,SPEAKER_01,the,0.982
33.141,33.302,SPEAKER_01,world,0.634
33.342,33.362,SPEAKER_01,a,0.682
33.402,33.602,SPEAKER_01,better,0.936
33.642,33.942,SPEAKER_01,place,0.96
34.042,34.163,SPEAKER_01,for,0.837
34.263,34.443,SPEAKER_01,not,0.641
34.463,34.743,SPEAKER_01,only,0.759
34.803,34.884,SPEAKER_01,the,0.489
34.904,35.204,SPEAKER_01,humans,0.585
35.284,35.384,SPEAKER_01,on,0.787
35.444,35.544,SPEAKER_01,"it,",0.971
35.585,35.765,SPEAKER_01,but,0.765
35.805,36.325,SPEAKER_01,also,0.937
36.366,37.227,SPEAKER_01,for,0.619
37.247,37.307,SPEAKER_01,the,0.659
37.327,37.607,SPEAKER_01,planet,0.804
37.667,38.028,SPEAKER_01,itself.,0.92
39.029,39.289,SPEAKER_01,I'm,0.454
39.73,39.83,SPEAKER_01,not,0.888
39.87,40.01,SPEAKER_01,there,0.597
40.03,40.411,SPEAKER_01,yet,0.762
40.431,40.591,SPEAKER_01,because,0.339
40.811,40.831,SPEAKER_01,I,0.032
40.851,40.992,SPEAKER_01,haven't,0.084
41.012,41.212,SPEAKER_01,finished,0.782
41.232,41.652,SPEAKER_01,college,0.658
41.893,42.053,SPEAKER_01,"yet,",0.584
42.792,43.192,SPEAKER_01,In,0.852
43.332,43.473,SPEAKER_01,my,0.928
43.493,43.693,SPEAKER_01,spare,0.501
43.713,43.913,SPEAKER_01,"time,",0.545
